,Load: Load Number,Load: Created Date,Actual Pickup Date,Origin Zip Code,Destination Zip Code,Origin State,Destination State,Mode,Linear Feet,Total Weight,Distance (Miles),Total HU,Revenue (Mixed) Currency,Revenue (Mixed),Carrier Cost (Mixed) Currency,Carrier Cost (Mixed),Target buy rate,GS Network buy rate
295,SHP4928940,5/14/2024,5/17/2024,64012,33178,Missouri,Florida,Partial Van (LTL Spot Market),16.0,12684.0,1478.5,23.0,USD,431.49,USD,288.78,3001.0,2807.0
296,SHP4925846,5/13/2024,5/17/2024,60172,33122,Illinois,Florida,Partial Van (LTL Spot Market),15.0,3990.0,1412.97,3.0,USD,1376.19,USD,1050.0,2649.0,2586.0
297,SHP4924854,5/13/2024,5/14/2024,46545,33178,Indiana,Florida,Partial Van (LTL Spot Market),10.5,6416.0,1353.85,6.0,USD,1142.36,USD,950.0,2664.0,2635.0
298,SHP4923535,5/10/2024,5/14/2024,07424,33172,New Jersey,Florida,Partial Van (LTL Spot Market),20.0,12012.0,1305.72,9.0,USD,1383.6,USD,1200.0,1941.0,2009.0
299,SHP4922768,5/10/2024,5/14/2024,98032,32218,Washington,Florida,Partial Van (LTL Spot Market),23.33,13518.0,3033.18,14.0,USD,2640.0,USD,3000.0,4308.0,4626.0
300,SHP4919147,5/9/2024,5/10/2024,90248,47331,California,Indiana,Partial Van (LTL Spot Market),20.0,4590.0,2136.85,10.0,USD,2209.0,USD,2050.0,3962.0,3900.0
301,SHP4918689,5/9/2024,5/15/2024,54154,78045,Wisconsin,Texas,Partial Van (LTL Spot Market),26.0,7398.0,1580.74,8.0,USD,1966.94,USD,1600.0,2395.0,2304.0
302,SHP4913523,5/8/2024,5/9/2024,60089,33166,Illinois,Florida,Partial Van (LTL Spot Market),22.0,6017.0,1423.7,16.0,USD,1868.77,USD,1700.0,2697.0,2625.0
303,SHP4913223,5/8/2024,5/8/2024,19355,98021,Pennsylvania,Washington,Partial Van (LTL Spot Market),0.01,1200.0,2808.9,7.0,USD,3300.0,USD,2100.0,4186.0,3968.0
304,SHP4913083,5/8/2024,5/8/2024,19355,80226,Pennsylvania,Colorado,Partial Van (LTL Spot Market),0.01,1200.0,1707.24,7.0,USD,2000.0,USD,1400.0,3029.0,3064.0
305,SHP4911656,5/7/2024,5/7/2024,19355,76209,Pennsylvania,Texas,Partial Van (LTL Spot Market),0.01,1200.0,1495.74,7.0,USD,1200.0,USD,1100.0,2257.0,2226.0
306,SHP4911078,5/7/2024,5/9/2024,01453,33182,Massachusetts,Florida,Partial Van (LTL Spot Market),8.0,12095.0,1500.14,7.0,USD,1791.73,USD,1150.0,2463.0,2306.0
307,SHP4910708,5/7/2024,5/29/2024,43506,33122,Ohio,Florida,Partial F/SD (LTL Spot Market),13.0,5126.0,1342.0,3.0,USD,1767.0,USD,1590.0,3112.0,3122.0
308,SHP4910119,5/7/2024,5/10/2024,48189,33122,Michigan,Florida,Partial Van (LTL Spot Market),10.5,11260.0,1356.43,5.0,USD,1598.0,USD,1200.0,2672.0,2635.0
309,SHP4909255,5/7/2024,5/7/2024,38671,33182,Mississippi,Florida,Partial Van (LTL Spot Market),12.0,1582.0,989.36,6.0,USD,1329.0,USD,1000.0,2442.0,2396.0
310,SHP4908534,5/7/2024,5/13/2024,66534,33166,Kansas,Florida,Partial Van (LTL Spot Market),14.0,2810.0,1581.17,6.0,USD,1269.53,USD,1150.0,3331.0,3124.0
311,SHP4907221,5/6/2024,5/7/2024,66523,33178,Kansas,Florida,Partial Van (LTL Spot Market),14.0,3306.0,1548.81,6.0,USD,1288.51,USD,1000.0,3034.0,2882.0
312,SHP4906272,5/6/2024,5/8/2024,50322,90040,Iowa,California,Partial Van (LTL Spot Market),17.0,2852.0,1676.55,7.0,USD,1475.47,USD,1350.0,2870.0,2805.0
313,SHP4905976,5/6/2024,5/14/2024,16329,33178,Pennsylvania,Florida,Partial F/SD (LTL Spot Market),10.0,3315.0,1309.97,1.0,USD,1547.0,USD,1450.0,3100.0,3013.0
314,SHP4905924,5/6/2024,5/7/2024,07206,78045,New Jersey,Texas,Partial Van (LTL Spot Market),15.0,3525.0,1971.46,4.0,USD,1521.46,USD,1050.0,2382.0,2452.0
315,SHP4905443,5/6/2024,5/12/2024,11735,33166,New York,Florida,Partial Van (LTL Spot Market),7.0,14400.0,1337.63,6.0,USD,1650.0,USD,1450.0,2539.0,2410.0
316,SHP4904529,5/6/2024,5/8/2024,08067,33172,New Jersey,Florida,Partial Van (LTL Spot Market),12.0,20700.0,1195.7,10.0,USD,1685.7,USD,1300.0,2026.0,1863.0
317,SHP4904351,5/6/2024,5/7/2024,47130,33172,Indiana,Florida,Partial Van (LTL Spot Market),18.67,5700.0,1101.22,7.0,USD,954.31,USD,900.0,2640.0,2599.0
318,SHP4903916,5/3/2024,5/8/2024,76543,07631,Texas,New Jersey,Partial F/SD (LTL Spot Market),21.0,1071.0,1629.94,1.0,USD,2000.0,USD,1700.0,3797.0,3775.0
319,SHP4902301,5/3/2024,5/6/2024,33166,23454,Florida,Virginia,Partial Van (LTL Spot Market),4.02,7510.0,982.56,6.0,USD,1798.6,USD,1451.7,1437.0,1577.0
320,SHP4901652,5/3/2024,5/7/2024,82718,90221,Wyoming,California,Partial F/SD (LTL Spot Market),7.0,9000.0,1218.82,1.0,USD,4662.0,USD,4412.0,2487.0,2402.0
321,SHP4901554,5/3/2024,5/10/2024,54915,32218,Wisconsin,Florida,Partial Van (LTL Spot Market),12.0,11.0,1279.0,5.0,USD,2137.0,USD,1700.0,2455.0,2414.0
322,SHP4899373,5/2/2024,5/16/2024,17331,33182,Pennsylvania,Florida,Partial Van (LTL Spot Market),12.0,2220.0,1188.17,10.0,USD,300.0,USD,250.0,2001.0,1943.0
323,SHP4898620,5/2/2024,5/6/2024,89119,33166,Nevada,Florida,Partial Van (LTL Spot Market),16.0,7316.0,2529.22,14.0,USD,2035.0,USD,2000.0,4902.0,4981.0
324,SHP4898350,5/2/2024,5/15/2024,02021,78045,Massachusetts,Texas,Partial F/SD (LTL Spot Market),9.0,3198.0,2190.89,1.0,USD,1990.0,USD,1700.0,3847.0,4019.0
325,SHP4898123,5/2/2024,5/9/2024,06437,33126,Connecticut,Florida,Partial Van (LTL Spot Market),9.0,1498.0,1387.0,4.0,USD,1086.56,USD,900.0,2344.0,2244.0
326,SHP4897401,5/2/2024,5/16/2024,84663,07036,Utah,New Jersey,Partial Van (LTL Spot Market),25.0,9440.0,2213.47,4.0,USD,2608.32,USD,2200.0,3823.0,3779.0
327,SHP4897398,5/2/2024,5/3/2024,93307,33025,California,Florida,Partial F/SD (LTL Spot Market),21.0,2940.0,2740.94,1.0,USD,3168.0,USD,2500.0,5269.0,5491.0
328,SHP4896938,5/2/2024,5/3/2024,33166,08527,Florida,New Jersey,Partial Van (LTL Spot Market),0.01,2000.0,1253.95,1.0,USD,260.0,USD,250.0,1969.0,2157.0
329,SHP4896742,5/2/2024,5/2/2024,33122,85128,Florida,Arizona,Partial F/SD (LTL Spot Market),0.01,9800.0,2314.82,2.0,USD,2995.0,USD,2800.0,4664.0,4921.0
330,SHP4895758,5/1/2024,5/7/2024,75247,33166,Texas,Florida,Partial Van (LTL Spot Market),2.0,11795.0,1319.4,5.0,USD,1418.19,USD,900.0,2671.0,2624.0
331,SHP4895721,5/1/2024,5/9/2024,10460,33182,New York,Florida,Partial Van (LTL Spot Market),12.0,13152.0,1311.81,6.0,USD,1248.0,USD,1100.0,1999.0,2101.0
332,SHP4893447,4/30/2024,5/1/2024,32958,45241,Florida,Ohio,Partial F/SD (LTL Spot Market),0.01,1900.0,1007.59,3.0,USD,1250.0,USD,900.0,1609.0,1629.0
333,SHP4892699,4/30/2024,5/2/2024,74701,32958,Oklahoma,Florida,Partial F/SD (LTL Spot Market),0.01,680.0,1253.96,1.0,USD,1200.0,USD,950.0,2961.0,2914.0
334,SHP4892416,4/30/2024,5/1/2024,77032,33166,Texas,Florida,Partial Van (LTL Spot Market),12.0,1667.0,1206.05,3.0,USD,1288.69,USD,1180.0,2660.0,2630.0
335,SHP4892288,4/30/2024,5/2/2024,30721,33014,Georgia,Florida,Partial Van (LTL Spot Market),13.83,4000.0,742.36,2.0,USD,805.0,USD,700.0,1831.0,1807.0
336,SHP4891208,4/30/2024,4/30/2024,94587,33178,California,Florida,Partial Van (LTL Spot Market),14.0,3532.0,3022.8,8.0,USD,2552.0,USD,2000.0,5477.0,5499.0
337,SHP4890747,4/30/2024,5/2/2024,46168,33166,Indiana,Florida,Partial Van (LTL Spot Market),24.0,6562.0,1217.43,13.0,USD,1768.5,USD,1700.0,2556.0,2475.0
338,SHP4889287,4/29/2024,5/6/2024,91766,78045,California,Texas,Partial Van (LTL Spot Market),21.0,8830.0,1472.78,11.0,USD,1776.28,USD,1600.0,2532.0,2498.0
339,SHP4889052,4/29/2024,5/6/2024,54495,33172,Wisconsin,Florida,Partial Van (LTL Spot Market),8.0,5351.0,1647.01,3.0,USD,1653.06,USD,1530.0,3193.0,3076.0
340,SHP4888775,4/29/2024,4/30/2024,01434,33182,Massachusetts,Florida,Partial Van (LTL Spot Market),20.0,12741.0,1493.72,10.0,USD,1799.29,USD,1500.0,2548.0,2490.0
341,SHP4887635,4/29/2024,4/30/2024,01432,78045,Massachusetts,Texas,Partial Van (LTL Spot Market),8.0,6296.0,2175.81,3.0,USD,1334.4,USD,1000.0,2747.0,2741.0
342,SHP4886948,4/29/2024,5/9/2024,75455,33147,Texas,Florida,Partial Van (LTL Spot Market),10.0,15360.0,1435.2,6.0,USD,1673.47,USD,1200.0,2688.0,2736.0
343,SHP4886626,4/29/2024,4/30/2024,33187,49426,Florida,Michigan,Partial Van (LTL Spot Market),16.0,7275.0,1470.75,8.0,USD,1017.0,USD,900.0,2000.0,2132.0
344,SHP4886121,4/29/2024,4/30/2024,85212,33186,Arizona,Florida,Partial F/SD (LTL Spot Market),0.01,931.0,2375.44,1.0,USD,2100.0,USD,1600.0,4155.0,4132.0
345,SHP4883286,4/26/2024,4/29/2024,77041,07036,Texas,New Jersey,Partial Van (LTL Spot Market),13.0,1840.0,1634.97,1.0,USD,1486.36,USD,1400.0,3294.0,3249.0
346,SHP4882780,4/26/2024,4/29/2024,60446,33182,Illinois,Florida,Partial Van (LTL Spot Market),16.0,14700.0,1408.95,7.0,USD,1535.47,USD,1200.0,2827.0,2812.0
347,SHP4881974,4/25/2024,5/2/2024,95822,33172,California,Florida,Partial Van (LTL Spot Market),26.0,3646.0,3035.86,3.0,USD,3339.09,USD,3200.0,5470.0,5816.0
348,SHP4881505,4/25/2024,4/26/2024,84663,88061,Utah,New Mexico,Partial F/SD (LTL Spot Market),14.0,3600.0,1049.84,1.0,USD,1400.0,USD,1250.0,1576.0,1508.0
349,SHP4880984,4/25/2024,5/20/2024,20180,33122,Virginia,Florida,Partial F/SD (LTL Spot Market),14.0,4650.0,1116.3,1.0,USD,1498.0,USD,1450.0,2432.0,2418.0
350,SHP4880685,4/25/2024,4/30/2024,28034,33166,North Carolina,Florida,Partial Van (LTL Spot Market),22.0,16785.0,751.37,11.0,USD,1717.58,USD,1300.0,1737.0,1711.0
351,SHP4880462,4/25/2024,4/26/2024,84663,33884,Utah,Florida,Partial F/SD (LTL Spot Market),9.17,2600.0,2337.92,1.0,USD,1861.0,USD,1630.0,4468.0,4366.0
352,SHP4880352,4/25/2024,5/1/2024,18020,33126,Pennsylvania,Florida,Partial Van (LTL Spot Market),4.0,6720.0,1265.07,2.0,USD,1012.37,USD,1000.0,2139.0,2113.0
353,SHP4878258,4/25/2024,5/2/2024,49423,33178,Michigan,Florida,Partial Van (LTL Spot Market),12.0,15581.0,1432.91,6.0,USD,1751.57,USD,1650.0,2994.0,2927.0
354,SHP4878253,4/25/2024,5/8/2024,90746,10994,California,New York,Partial Van (LTL Spot Market),16.0,5015.0,2806.96,9.0,USD,2278.0,USD,2000.0,5483.0,5447.0
355,SHP4877191,4/24/2024,4/29/2024,45342,33166,Ohio,Florida,Partial Van (LTL Spot Market),12.0,17555.0,1194.31,6.0,USD,1908.46,USD,1825.0,2671.0,2520.0
356,SHP4875224,4/24/2024,4/24/2024,33010,77029,Florida,Texas,Partial Van (LTL Spot Market),13.33,9461.0,1181.4,7.0,USD,690.0,USD,600.0,1547.0,1600.0
357,SHP4874543,4/24/2024,4/25/2024,49283,33172,Michigan,Florida,Partial Van (LTL Spot Market),20.0,19000.0,1393.77,20.0,USD,1988.78,USD,1800.0,2993.0,2989.0
358,SHP4874525,4/24/2024,4/25/2024,18640,33182,Pennsylvania,Florida,Partial Van (LTL Spot Market),20.0,2704.0,1307.49,5.0,USD,1071.51,USD,927.5,2207.0,2198.0
359,SHP4873845,4/23/2024,4/25/2024,15342,33178,Pennsylvania,Florida,Partial Van (LTL Spot Market),13.0,939.0,1158.18,5.0,USD,1127.03,USD,1000.0,2559.0,2496.0
360,SHP4873791,4/23/2024,4/29/2024,53950,07201,Wisconsin,New Jersey,Partial Van (LTL Spot Market),14.0,1800.0,1010.38,6.0,USD,1111.7,USD,900.0,2499.0,2346.0
361,SHP4873723,4/23/2024,5/6/2024,53532,33018,Wisconsin,Florida,Partial Van (LTL Spot Market),20.0,5049.0,1535.86,10.0,USD,2294.0,USD,1900.0,2970.0,2823.0
362,SHP4871004,4/23/2024,4/23/2024,49045,33178,Michigan,Florida,Partial Van (LTL Spot Market),8.0,1815.0,1388.95,1.0,USD,1200.0,USD,800.0,3024.0,2944.0
363,SHP4868272,4/22/2024,4/23/2024,32958,45241,Florida,Ohio,Partial F/SD (LTL Spot Market),0.01,1500.0,1007.59,3.0,USD,1250.0,USD,900.0,1647.0,1617.0
364,SHP4867942,4/22/2024,4/30/2024,23324,33182,Virginia,Florida,Partial Van (LTL Spot Market),4.0,5698.0,976.85,2.0,USD,2159.0,USD,1300.0,1812.0,1756.0
365,SHP4867917,4/22/2024,5/17/2024,93263,33122,California,Florida,Partial F/SD (LTL Spot Market),9.0,212.0,2774.27,1.0,USD,1798.0,USD,1500.0,5372.0,5701.0
366,SHP4867048,4/22/2024,5/8/2024,17350,33166,Pennsylvania,Florida,Partial Van (LTL Spot Market),20.0,13270.0,1179.52,18.0,USD,2660.0,USD,2200.0,1944.0,1955.0
367,SHP4866887,4/22/2024,4/24/2024,10924,33166,New York,Florida,Partial Van (LTL Spot Market),8.0,7596.0,1344.74,4.0,USD,1136.23,USD,800.0,2245.0,2353.0
368,SHP4864858,4/19/2024,4/23/2024,46809,33178,Indiana,Florida,Partial Van (LTL Spot Market),13.0,3404.0,1294.27,2.0,USD,1219.38,USD,1050.0,2885.0,2817.0
369,SHP4862815,4/19/2024,4/24/2024,53038,33178,Wisconsin,Florida,Partial Van (LTL Spot Market),20.0,8504.0,1527.89,10.0,USD,1773.96,USD,1500.0,3182.0,3100.0
370,SHP4862313,4/19/2024,5/1/2024,48161,33178,Michigan,Florida,Partial Van (LTL Spot Market),8.01,7398.0,1309.55,3.0,USD,2017.0,USD,1800.0,2733.0,2700.0
371,SHP4860140,4/18/2024,4/19/2024,62040,33166,Illinois,Florida,Partial Van (LTL Spot Market),12.0,4068.0,1233.52,5.0,USD,1158.71,USD,950.0,2999.0,2872.0
372,SHP4859864,4/18/2024,4/19/2024,33167,92154,Florida,California,Partial Van (LTL Spot Market),9.0,5128.0,2657.25,5.0,USD,1252.18,USD,950.0,3292.0,3185.0
373,SHP4859606,4/18/2024,4/19/2024,60089,33166,Illinois,Florida,Partial Van (LTL Spot Market),22.0,6763.0,1423.7,11.0,USD,2003.99,USD,1650.0,2889.0,2881.0
374,SHP4859396,4/18/2024,4/23/2024,49426,33018,Michigan,Florida,Partial F/SD (LTL Spot Market),6.0,1101.0,1439.73,1.0,USD,1310.0,USD,1500.0,3224.0,3275.0
375,SHP4858766,4/18/2024,4/22/2024,62040,33178,Illinois,Florida,Partial Van (LTL Spot Market),16.0,5591.0,1231.45,8.0,USD,1399.55,USD,1200.0,3004.0,2877.0
376,SHP4857511,4/17/2024,4/23/2024,40258,33018,Kentucky,Florida,Partial Van (LTL Spot Market),12.0,1825.0,1075.77,5.0,USD,1097.0,USD,1000.0,2697.0,2701.0
377,SHP4856276,4/17/2024,4/18/2024,33178,75019,Florida,Texas,Partial Van (LTL Spot Market),14.1,4862.0,1333.63,7.0,USD,940.76,USD,800.0,1621.0,1729.0
378,SHP4855585,4/17/2024,4/19/2024,14624,33166,New York,Florida,Partial Van (LTL Spot Market),10.0,1706.0,1444.29,9.0,USD,1397.88,USD,1250.0,2835.0,2795.0
379,SHP4855545,4/17/2024,5/13/2024,54130,20166,Wisconsin,Virginia,Partial F/SD (LTL Spot Market),21.0,3400.0,920.81,1.0,USD,1889.0,USD,1500.0,2425.0,2331.0
380,SHP4855358,4/17/2024,4/23/2024,77003,33182,Texas,Florida,Partial Van (LTL Spot Market),15.0,1510.0,1204.57,5.0,USD,1450.73,USD,1100.0,2657.0,2658.0
381,SHP4855053,4/17/2024,4/19/2024,67460,33178,Kansas,Florida,Partial Van (LTL Spot Market),13.0,7707.0,1618.82,11.0,USD,1810.72,USD,1700.0,3264.0,3163.0
382,SHP4854990,4/17/2024,4/19/2024,70380,33316,Louisiana,Florida,Partial F/SD (LTL Spot Market),25.5,4500.0,925.74,2.0,USD,2195.0,USD,2050.0,2639.0,2590.0
383,SHP4854529,4/17/2024,4/17/2024,48310,78577,Michigan,Texas,Partial Van (LTL Spot Market),21.75,3760.0,1724.74,5.0,USD,2895.0,USD,1800.0,2335.0,2366.0
384,SHP4853602,4/16/2024,4/19/2024,15301,33178,Pennsylvania,Florida,Partial Van (LTL Spot Market),12.0,8805.0,1150.62,2.0,USD,1290.0,USD,1200.0,2582.0,2514.0
385,SHP4853451,4/16/2024,4/17/2024,33836,77029,Florida,Texas,Partial F/SD (LTL Spot Market),7.0,5000.0,953.94,1.0,USD,1039.0,USD,800.0,1729.0,1744.0
386,SHP4852987,4/16/2024,4/24/2024,77494,33172,Texas,Florida,Partial Van (LTL Spot Market),19.0,6041.0,1229.63,9.0,USD,1800.0,USD,1600.0,2783.0,2665.0
387,SHP4852780,4/16/2024,4/17/2024,18222,98273,Pennsylvania,Washington,Partial F/SD (LTL Spot Market),18.67,10600.0,2783.0,1.0,USD,3950.0,USD,3700.0,5818.0,5910.0
388,SHP4851986,4/16/2024,5/13/2024,48422,77063,Michigan,Texas,Partial Van (LTL Spot Market),9.0,1180.0,1407.16,4.0,USD,1318.34,USD,1300.0,2268.0,2338.0
389,SHP4849400,4/15/2024,4/26/2024,30313,77040,Georgia,Texas,Partial F/SD (LTL Spot Market),20.0,9500.0,811.09,1.0,USD,2523.0,USD,1997.7,1838.0,1729.0
390,SHP4847978,4/15/2024,4/17/2024,90501,33178,California,Florida,Partial Van (LTL Spot Market),27.0,19864.0,2741.32,13.0,USD,3794.0,USD,3200.0,5552.0,5505.0
391,SHP4847925,4/15/2024,4/16/2024,33178,N0B 1E0,Florida,Ontario,Partial Van (LTL Spot Market),4.08,4950.0,1487.86,1.0,USD,768.0,USD,600.0,2253.0,2155.0
392,SHP4846952,4/15/2024,4/18/2024,80112,33178,Colorado,Florida,Partial Van (LTL Spot Market),20.0,6224.0,2072.42,20.0,USD,1966.57,USD,1960.0,3232.0,3114.0
393,SHP4844615,4/12/2024,4/16/2024,77080,33018,Texas,Florida,Partial F/SD (LTL Spot Market),7.0,1850.0,1193.88,1.0,USD,1108.0,USD,1000.0,2790.0,2800.0
394,SHP4842973,4/12/2024,4/18/2024,54971,33172,Wisconsin,Florida,Partial F/SD (LTL Spot Market),7.0,1766.0,1575.55,1.0,USD,1475.0,USD,1200.0,3472.0,3369.0
395,SHP4842914,4/12/2024,4/24/2024,75098,33126,Texas,Florida,Partial Van (LTL Spot Market),7.0,11430.0,1330.83,7.0,USD,1364.83,USD,1200.0,2841.0,2776.0
396,SHP4842655,4/12/2024,4/18/2024,47130,33172,Indiana,Florida,Partial Van (LTL Spot Market),14.0,7450.0,1101.22,10.0,USD,1093.61,USD,1100.0,2781.0,2757.0
397,SHP4841014,4/11/2024,4/16/2024,42001,33182,Kentucky,Florida,Partial Van (LTL Spot Market),12.0,6753.0,1064.95,16.0,USD,1575.0,USD,950.0,2993.0,3015.0
398,SHP4840800,4/11/2024,4/15/2024,21773,33182,Maryland,Florida,Partial F/SD (LTL Spot Market),7.0,920.0,1116.24,1.0,USD,1231.0,USD,1050.0,2687.0,2656.0
399,SHP4838620,4/11/2024,4/11/2024,94587,33178,California,Florida,Partial Van (LTL Spot Market),14.0,2774.0,3044.07,8.0,USD,2449.0,USD,1800.0,5526.0,5560.0
400,SHP4837043,4/10/2024,4/15/2024,44281,33172,Ohio,Florida,Partial Van (LTL Spot Market),9.0,7000.0,1225.2,1.0,USD,1259.0,USD,1000.0,2859.0,2799.0
401,SHP4835685,4/10/2024,4/15/2024,44062,77084,Ohio,Texas,Partial Van (LTL Spot Market),9.0,2960.0,1339.86,1.0,USD,1011.62,USD,950.0,2182.0,2179.0
402,SHP4833347,4/10/2024,4/15/2024,01420,78045,Massachusetts,Texas,Partial F/SD (LTL Spot Market),8.0,10320.0,2180.64,1.0,USD,2496.0,USD,2375.0,4008.0,4021.0
403,SHP4832710,4/9/2024,4/11/2024,84663,98223,Utah,Washington,Partial F/SD (LTL Spot Market),14.0,3800.0,922.46,1.0,USD,1300.0,USD,1100.0,1924.0,1863.0
404,SHP4831955,4/9/2024,4/10/2024,33178,43207,Florida,Ohio,Partial Van (LTL Spot Market),4.0,6500.0,2719.9,1.0,USD,805.0,USD,700.0,1439.0,1447.0
405,SHP4831551,4/9/2024,4/15/2024,53532,33018,Wisconsin,Florida,Partial Van (LTL Spot Market),20.0,5049.0,1535.86,10.0,USD,1975.0,USD,1700.0,3384.0,3309.0
406,SHP4831308,4/9/2024,4/10/2024,35234,78045,Alabama,Texas,Partial F/SD (LTL Spot Market),0.01,3153.0,1013.85,15.0,USD,1387.0,USD,1280.0,2529.0,2477.0
407,SHP4830942,4/9/2024,4/11/2024,77054,33182,Texas,Florida,Partial Van (LTL Spot Market),11.0,12000.0,1207.29,6.0,USD,1242.0,USD,1100.0,2651.0,2648.0
408,SHP4830843,4/9/2024,4/11/2024,08817,32837,New Jersey,Florida,Partial Van (LTL Spot Market),20.0,10583.0,1060.26,10.0,USD,1536.47,USD,1328.0,2164.0,2151.0
409,SHP4830247,4/9/2024,4/16/2024,48642,33182,Michigan,Florida,Partial Van (LTL Spot Market),12.0,21121.0,1465.84,10.0,USD,2218.0,USD,2000.0,3548.0,3692.0
410,SHP4830215,4/9/2024,4/9/2024,33122,07105,Florida,New Jersey,Partial Van (LTL Spot Market),0.0,20000.0,1285.22,86.0,USD,1300.0,USD,950.0,1762.0,1711.0
411,SHP4829428,4/9/2024,3/13/2024,83616,32561,Idaho,Florida,Partial Van (LTL Spot Market),0.01,700.0,2300.44,1.0,USD,1100.0,USD,1000.0,4276.0,4286.0
412,SHP4828216,4/8/2024,4/10/2024,89118,07036,Nevada,New Jersey,Partial Van (LTL Spot Market),16.0,6360.0,2530.15,8.0,USD,2126.26,USD,2070.0,4830.0,4764.0
413,SHP4827388,4/8/2024,4/15/2024,54484,33182,Wisconsin,Florida,Partial Van (LTL Spot Market),9.0,1994.0,1686.79,2.0,USD,1163.17,USD,1080.0,3815.0,3680.0
414,SHP4826369,4/8/2024,4/9/2024,77051,33018,Texas,Florida,Partial F/SD (LTL Spot Market),21.75,4411.0,1188.06,2.0,USD,1620.0,USD,1345.0,2757.0,2819.0
415,SHP4825037,4/8/2024,4/11/2024,72764,33178,Arkansas,Florida,Partial F/SD (LTL Spot Market),24.0,4499.0,1311.78,6.0,USD,2771.0,USD,2600.0,3206.0,3181.0
416,SHP4823574,4/5/2024,4/12/2024,08014,33166,New Jersey,Florida,Partial F/SD (LTL Spot Market),12.0,10500.0,1188.74,1.0,USD,1546.0,USD,1475.0,2934.0,2658.0
417,SHP4823396,4/5/2024,4/15/2024,55421,30297,Minnesota,Georgia,Partial F/SD (LTL Spot Market),17.5,8052.0,1149.41,2.0,USD,1490.0,USD,1350.0,2305.0,2260.0
418,SHP4821460,4/5/2024,4/12/2024,11788,33122,New York,Florida,Partial Van (LTL Spot Market),21.0,4415.0,1346.25,10.0,USD,1496.11,USD,1200.0,2818.0,2764.0
419,SHP4820201,4/4/2024,4/10/2024,77043,33182,Texas,Florida,Partial Van (LTL Spot Market),16.0,10603.0,1212.29,7.0,USD,1304.76,USD,1000.0,2830.0,2755.0
420,SHP4819374,4/4/2024,4/9/2024,15963,33182,Pennsylvania,Florida,Partial Van (LTL Spot Market),9.0,11660.0,1226.58,9.0,USD,1159.22,USD,1525.0,2675.0,2658.0
421,SHP4819123,4/4/2024,4/5/2024,30107,33166,Georgia,Florida,Partial Van (LTL Spot Market),6.0,2317.0,721.26,1.0,USD,1000.0,USD,781.6,1779.0,1760.0
422,SHP4819017,4/4/2024,4/5/2024,24153,33178,Virginia,Florida,Partial F/SD (LTL Spot Market),9.0,6085.0,924.52,1.0,USD,1596.0,USD,1500.0,2279.0,2228.0
423,SHP4816884,4/3/2024,4/9/2024,61603,90220,Illinois,California,Partial F/SD (LTL Spot Market),21.0,1120.0,1956.72,1.0,USD,2575.0,USD,2227.5,4622.0,4550.0
424,SHP4816279,4/3/2024,4/8/2024,80020,33182,Colorado,Florida,Partial Van (LTL Spot Market),20.0,6275.0,2088.82,9.0,USD,1971.39,USD,1930.0,3540.0,3511.0
425,SHP4815784,4/3/2024,4/9/2024,77028,33182,Texas,Florida,Partial Van (LTL Spot Market),24.0,8286.0,1197.32,6.0,USD,1678.63,USD,1550.0,2765.0,2742.0
426,SHP4815031,4/3/2024,4/5/2024,90250,32254,California,Florida,Partial Van (LTL Spot Market),23.0,6718.0,2426.26,10.0,USD,2923.0,USD,2700.0,4773.0,4910.0
427,SHP4814826,4/3/2024,4/5/2024,78045,34771,Texas,Florida,Partial Van (LTL Spot Market),20.0,19495.0,1330.93,11.0,USD,2387.0,USD,2000.0,3189.0,3164.0
428,SHP4814044,4/3/2024,4/5/2024,89502,32548,Nevada,Florida,Partial F/SD (LTL Spot Market),9.0,1200.0,2353.58,1.0,USD,1653.0,USD,1600.0,4417.0,3902.0
429,SHP4812890,4/2/2024,4/12/2024,67215,33178,Kansas,Florida,Partial F/SD (LTL Spot Market),11.5,3214.0,1564.56,1.0,USD,1720.0,USD,1550.0,3451.0,3462.0
430,SHP4812288,4/2/2024,4/9/2024,47923,33182,Indiana,Florida,Partial Van (LTL Spot Market),24.0,9381.0,1288.34,4.0,USD,1813.0,USD,2030.0,3020.0,2960.0
431,SHP4811649,4/2/2024,4/10/2024,90248,47331,California,Indiana,Partial Van (LTL Spot Market),18.0,5200.0,2136.85,14.0,USD,2050.0,USD,1900.0,3743.0,3732.0
432,SHP4809247,4/1/2024,4/4/2024,90220,38506,California,Tennessee,Partial F/SD (LTL Spot Market),4.0,14109.0,2095.11,1.0,USD,2575.0,USD,2100.0,4189.0,4051.0
433,SHP4809148,4/1/2024,4/5/2024,53207,33172,Wisconsin,Florida,Partial F/SD (LTL Spot Market),11.0,16520.0,1489.93,1.0,USD,2056.0,USD,1800.0,3083.0,3148.0
434,SHP4806219,4/1/2024,4/2/2024,55121,33309,Minnesota,Florida,Partial Van (LTL Spot Market),28.0,10617.0,1761.11,12.0,USD,2300.0,USD,2000.0,3866.0,3825.0
435,SHP4804131,3/28/2024,4/2/2024,14624,33166,New York,Florida,Partial Van (LTL Spot Market),20.0,2385.0,1444.08,27.0,USD,2255.0,USD,1700.0,3223.0,3199.0
436,SHP4803563,3/28/2024,4/2/2024,55127,33178,Minnesota,Florida,Partial Van (LTL Spot Market),17.0,15179.0,1794.6,15.0,USD,1855.4,USD,1800.0,3897.0,3934.0
